Signal Name,Original_Signal (Time Cut)
holding_voltage,2.986197279113729
unloading_parameter,[-3.94244282e-04  2.28826756e+00 -4.42729051e+03  2.85535044e+06]
peak_time,1930.68
peak_value,2.985212
peak_mean,2.985333262
plus_minus_toleranz,0.0013592343986961318
U3,0.09486856070038696
U3_mean,0.09498982270038692
manufacturer,vishay
capacitance,50
typ,C
methode,A
klass,4
dut,1
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,6.0





time,value,derivative
1930.68,2.985212,-0.6250000000005773
1930.69,2.978962,-2.8125500000025454
1930.7,2.928961,-3.630450000003293
1930.71,2.906353,-1.4506500000013318
1930.72,2.899948,-0.5401500000004944
1930.73,2.89555,-0.370350000000343
1930.74,2.892541,-0.370350000000343
1930.75,2.888143,-0.370350000000343
1930.76,2.885134,-0.2546500000002254
1930.77,2.88305,-0.266250000000241
1930.78,2.879809,-0.2893500000002689
1930.79,2.877263,-0.20060000000017908
1930.8,2.875797,-0.20060000000017908
1930.81,2.873251,-0.2585000000002253
1930.82,2.870627,-0.18905000000017935
1930.83,2.86947,-0.17744999999672473
1930.8400000000001,2.867078,-0.2353499999974531
1930.8500000000001,2.864763,-0.1620500000001357
1930.8600000000001,2.863837,-0.15045000000014852
1930.8700000000001,2.861754,-0.2160500000001946
1930.88,2.859516,-0.16975000000013551
1930.89,2.858359,-0.11960000000010496
1930.9,2.857124,-0.1736500000001513
1930.91,2.854886,-0.1582000000001642
1930.92,2.85396,-0.11575000000010505
1930.93,2.852571,-0.18520000000017944
1930.94,2.850256,-0.16200000000017667
1930.95,2.849331,-0.09640000000007376
1930.96,2.848328,-0.14275000000012028
1930.97,2.846476,-0.15435000000013588
1930.98,2.845241,-0.10805000000010523
1930.99,2.844315,-0.15430000000014843
1931.0,2.842155,-0.15815000000011992
1931.01,2.841152,-0.10420000000010532
1931.02,2.840071,-0.1389000000001488
1931.03,2.838374,-0.17745000000013533
1931.04,2.836522,-0.09645000000008963
1931.05,2.836445,-0.10030000000011796
1931.06,2.834516,-0.16975000000013551
1931.07,2.83305,-0.11575000000010505
1931.08,2.832201,-0.11964999999796078
1931.0900000000001,2.830657,-0.15434999999837373
1931.1000000000001,2.829114,-0.1157000000001176
1931.1100000000001,2.828343,-0.10030000000011796
1931.1200000000001,2.827108,-0.1466000000001202
1931.13,2.825411,-0.12730000000010477
1931.14,2.824562,-0.08490000000006148
1931.15,2.823713,-0.15435000000013588
1931.16,2.821475,-0.15045000000014852
1931.17,2.820704,-0.08100000000007412
1931.18,2.819855,-0.1736500000001513
1931.19,2.817231,-0.17360000000016385
1931.2,2.816383,-0.07715000000007421
1931.21,2.815688,-0.13505000000012046
1931.22,2.813682,-0.15430000000014843
1931.23,2.812602,-0.08485000000007403
1931.24,2.811985,-0.12730000000010477
1931.25,2.810056,-0.16205000000016412
1931.26,2.808744,-0.09645000000008963
1931.27,2.808127,-0.08105000000006157
1931.28,2.807123,-0.15050000000013597
1931.29,2.805117,-0.12730000000010477
1931.3,2.804577,-0.10415000000011787
1931.31,2.803034,-0.16205000000016412
1931.32,2.801336,-0.10030000000006112
1931.33,2.801028,-0.08869999999777178
1931.3400000000001,2.799562,-0.16204999999865777
1931.3500000000001,2.797787,-0.11960000000010496
1931.3600000000001,2.79717,-0.0733000000000743
1931.3700000000001,2.796321,-0.14275000000012028
1931.38,2.794315,-0.11575000000010505
1931.39,2.794006,-0.07715000000010264
1931.4,2.792772,-0.13890000000012037
1931.41,2.791228,-0.11190000000007672
1931.42,2.790534,-0.07715000000007421
1931.43,2.789685,-0.1427500000001487
1931.44,2.787679,-0.1504500000001201
1931.45,2.786676,-0.08490000000006148
1931.46,2.785981,-0.13505000000014888
1931.47,2.783975,-0.15430000000014843
1931.48,2.782895,-0.06560000000004607
1931.49,2.782663,-0.10030000000008954
1931.5,2.780889,-0.1466000000001202
1931.51,2.779731,-0.0849000000000899
1931.52,2.779191,-0.11960000000010496
1931.53,2.777339,-0.16975000000013551
1931.54,2.775796,-0.10030000000011796
1931.55,2.775333,-0.11190000000010514
1931.56,2.773558,-0.16975000000013551
1931.57,2.771938,-0.10030000000011796
1931.58,2.771552,-0.09644999999770221
1931.5900000000001,2.770009,-0.15429999999835786
1931.6000000000001,2.768466,-0.10030000000008954
1931.6100000000001,2.768003,-0.08875000000008981
1931.6200000000001,2.766691,-0.1620500000001357
1931.63,2.764762,-0.12345000000007644
1931.64,2.764222,-0.06560000000007449
1931.65,2.76345,-0.13505000000014888
1931.66,2.761521,-0.1504500000001201
1931.67,2.760441,-0.07715000000007421
1931.68,2.759978,-0.12345000000013329
1931.69,2.757972,-0.15430000000012
1931.7,2.756892,-0.08105000000006157
1931.71,2.756351,-0.11960000000010496
1931.72,2.7545,-0.15045000000014852
1931.73,2.753342,-0.07335000000009018
1931.74,2.753033,-0.11575000000010505
1931.75,2.751027,-0.16975000000013551
1931.76,2.749638,-0.08100000000007412
1931.77,2.749407,-0.09260000000008972
1931.78,2.747786,-0.1620500000001357
1931.79,2.746166,-0.10800000000008936
1931.8,2.745626,-0.08875000000008981
1931.81,2.744391,-0.1389000000001488
1931.82,2.742848,-0.09255000000007385
1931.83,2.74254,-0.09644999999750326
1931.8400000000001,2.740919,-0.1543499999982032
1931.8500000000001,2.739453,-0.10800000000008936
1931.8600000000001,2.738759,-0.08875000000008981
1931.8700000000001,2.737678,-0.16205000000016412
1931.88,2.735518,-0.1311500000001331
1931.89,2.735055,-0.06175000000004616
1931.9,2.734283,-0.12730000000010477
1931.91,2.732509,-0.14275000000012028
1931.92,2.731428,-0.09260000000008972
1931.93,2.730657,-0.11960000000013338
1931.94,2.729036,-0.1466000000001202
1931.95,2.727725,-0.09255000000007385
1931.96,2.727185,-0.11190000000010514
1931.97,2.725487,-0.14665000000013606
1931.98,2.724252,-0.07715000000007421
1931.99,2.723944,-0.12345000000010486
1932.0,2.721783,-0.1775000000001512
1932.01,2.720394,-0.08485000000007403
1932.02,2.720086,-0.09645000000008963
1932.03,2.718465,-0.15050000000013597
1932.04,2.717076,-0.10030000000008954
1932.05,2.716459,-0.10800000000008936
1932.06,2.714916,-0.1466000000001486
1932.07,2.713527,-0.08875000000008981
1932.08,2.713141,-0.07714999999831207
1932.0900000000001,2.711984,-0.14659999999915385
1932.1000000000001,2.710209,-0.10415000000011787
1932.1100000000001,2.709901,-0.06560000000004607
1932.1200000000001,2.708897,-0.16205000000016412
1932.13,2.70666,-0.13115000000010468
1932.14,2.706274,-0.08490000000006148
1932.15,2.704962,-0.1543500000001643
1932.16,2.703187,-0.11960000000010496
1932.17,2.70257,-0.06945000000004597
1932.18,2.701798,-0.12345000000010486
1932.19,2.700101,-0.1273000000001332
1932.2,2.699252,-0.08105000000009
1932.21,2.69848,-0.1504500000001201
1932.22,2.696243,-0.16585000000014816
1932.23,2.695163,-0.0694500000000744
1932.24,2.694854,-0.1042000000000769
1932.25,2.693079,-0.1620500000001357
1932.26,2.691613,-0.10030000000011796
1932.27,2.691073,-0.10800000000011778
1932.28,2.689453,-0.13505000000009204
1932.29,2.688372,-0.08105000000003315
1932.3,2.687832,-0.11575000000013347
1932.31,2.686057,-0.2083500000002232
1932.32,2.683665,-0.09640000000007376
1932.33,2.684129,-0.050149999997302075
1932.3400000000001,2.682662,-0.15049999999851593
1932.3500000000001,2.681119,-0.10800000000008936
1932.3600000000001,2.680502,-0.0733000000000743
1932.3700000000001,2.679653,-0.1427500000001487
1932.38,2.677647,-0.1311500000001331
1932.39,2.67703,-0.06175000000004616
1932.4,2.676412,-0.13120000000012055
1932.41,2.674406,-0.1466000000001486
1932.42,2.67348,-0.08875000000006139
1932.43,2.672631,-0.1388500000001045
1932.44,2.670703,-0.1466000000001202
1932.45,2.669699,-0.0733000000000743
1932.46,2.669237,-0.11185000000011769
1932.47,2.667462,-0.13890000000012037
1932.48,2.666459,-0.0849000000000899
1932.49,2.665764,-0.11190000000010514
1932.5,2.664221,-0.16205000000010727
1932.51,2.662523,-0.10030000000008954
1932.52,2.662215,-0.08870000000010236
1932.53,2.660749,-0.1582000000001642
1932.54,2.659051,-0.10805000000010523
1932.55,2.658588,-0.08100000000007412
1932.56,2.657431,-0.1466000000001202
1932.57,2.655656,-0.11190000000007672
1932.58,2.655193,-0.06559999999888078
1932.5900000000001,2.654344,-0.1388999999997793
1932.6000000000001,2.652415,-0.13890000000012037
1932.6100000000001,2.651566,-0.08485000000007403
1932.6200000000001,2.650718,-0.14270000000013283
1932.63,2.648712,-0.12730000000010477
1932.64,2.648172,-0.06560000000004607
1932.65,2.6474,-0.12735000000012064
1932.66,2.645625,-0.13890000000012037
1932.67,2.644622,-0.07715000000007421
1932.68,2.644082,-0.10415000000008945
1932.69,2.642539,-0.14275000000012028
1932.7,2.641227,-0.09260000000011814
1932.71,2.640687,-0.12730000000010477
1932.72,2.638681,-0.1659000000001356
1932.73,2.637369,-0.09260000000008972
1932.74,2.636829,-0.10420000000010532
1932.75,2.635285,-0.1389000000001488
1932.76,2.634051,-0.07715000000007421
1932.77,2.633742,-0.07715000000004579
1932.78,2.632508,-0.1620500000001357
1932.79,2.630501,-0.1389000000001488
1932.8,2.62973,-0.09255000000007385
1932.81,2.62865,-0.14275000000012028
1932.82,2.626875,-0.12735000000012064
1932.83,2.626103,-0.07714999999919314
1932.8400000000001,2.625332,-0.13499999999990564
1932.8500000000001,2.623403,-0.14660000000017703
1932.8600000000001,2.6224,-0.08105000000006157
1932.8700000000001,2.621782,-0.11575000000007662
1932.88,2.620085,-0.13885000000013292
1932.89,2.619005,-0.0733000000000743
1932.9,2.618619,-0.11190000000010514
1932.91,2.616767,-0.1582000000001642
1932.92,2.615455,-0.10030000000008954
1932.93,2.614761,-0.10415000000006103
1932.94,2.613372,-0.13120000000012055
1932.95,2.612137,-0.10420000000010532
1932.96,2.611288,-0.10415000000008945
1932.97,2.610054,-0.1427500000001487
1932.98,2.608433,-0.10805000000010523
1932.99,2.607893,-0.08485000000004561
1933.0,2.606736,-0.14275000000012028
1933.01,2.605038,-0.12345000000013329
1933.02,2.604267,-0.0733000000000743
1933.03,2.603572,-0.13120000000012055
1933.04,2.601643,-0.14275000000012028
1933.05,2.600717,-0.08875000000008981
1933.06,2.599868,-0.1273000000001332
1933.07,2.598171,-0.13115000000010468
1933.08,2.597245,-0.080999999999392
1933.0900000000001,2.596551,-0.11959999999987758
1933.1000000000001,2.594853,-0.12735000000009222
1933.1100000000001,2.594004,-0.10030000000008954
1933.1200000000001,2.592847,-0.1389000000001488
1933.13,2.591226,-0.11960000000010496
1933.14,2.590455,-0.06555000000005862
1933.15,2.589915,-0.10420000000010532
1933.16,2.588371,-0.1620500000001357
1933.17,2.586674,-0.11960000000010496
1933.18,2.585979,-0.10030000000008954
1933.19,2.584668,-0.15815000000014834
1933.2,2.582816,-0.12345000000010486
1933.21,2.582199,-0.10030000000008954
1933.22,2.58081,-0.1543500000001643
1933.23,2.579112,-0.11575000000010505
1933.24,2.578495,-0.08100000000007412
1933.25,2.577492,-0.1504500000001201
1933.26,2.575486,-0.13890000000009195
1933.27,2.574714,0.007699999999999818
1933.28,2.57564,-0.1311500000001331
1933.29,2.572091,-0.23535000000021
1933.3,2.570933,-0.0849000000000899
1933.31,2.570393,-0.11960000000010496
1933.32,2.568541,-0.13120000000009213
1933.33,2.567769,-0.07714999999922156
1933.3400000000001,2.566998,-0.13884999999993397
1933.3500000000001,2.564992,-0.15050000000010755
1933.3600000000001,2.563988,-0.0694500000000744
1933.3700000000001,2.563603,-0.1157000000001176
1933.38,2.561674,-0.16205000000016412
1933.39,2.560362,-0.0887500000000756
1933.4,2.559899,-0.08875000000006139
1933.41,2.558587,-0.1466000000001344
1933.42,2.556967,-0.10030000000010375
1933.43,2.556581,-0.08875000000008981
1933.44,2.555192,-0.1466000000001202
1933.45,2.553649,-0.12345000000011908
1933.46,2.552723,-0.0887500000000756
1933.47,2.551874,-0.12730000000010477
1933.48,2.550177,-0.1157000000001176
1933.49,2.54956,-0.09645000000008963
1933.5,2.548248,-0.14665000000013606
1933.51,2.546627,-0.10805000000010523
1933.52,2.546087,-0.0655500000000444
1933.53,2.545316,-0.1466000000001202
1933.54,2.543155,-0.1466000000001344
1933.55,2.542384,-0.0694500000000744
1933.56,2.541766,-0.12735000000013486
1933.57,2.539837,-0.14275000000012028
1933.58,2.538911,-0.08489999999927988
1933.5900000000001,2.538139,-0.10799999999956356
1933.6000000000001,2.536751,-0.1350000000001188
1933.6100000000001,2.535439,-0.10420000000011953
1933.6200000000001,2.534667,-0.11960000000013338
1933.63,2.533047,-0.1350000000001188
1933.64,2.531967,-0.0887500000000756
1933.65,2.531272,-0.10030000000007533
1933.66,2.529961,-0.14275000000012028
1933.67,2.528417,-0.10035000000010541
1933.68,2.527954,-0.08870000000008815
1933.69,2.526643,-0.1504500000001201
1933.7,2.524945,-0.12735000000010643
1933.71,2.524096,-0.09645000000008963
1933.72,2.523016,-0.1311500000001331
1933.73,2.521473,-0.09645000000008963
1933.74,2.521087,-0.07715000000006
1933.75,2.51993,-0.1466000000001344
1933.76,2.518155,-0.13120000000012055
1933.77,2.517306,-0.09260000000007551
1933.78,2.516303,-0.13505000000012046
1933.79,2.514605,-0.12345000000011908
1933.8,2.513834,-0.07715000000006
1933.81,2.513062,-0.12345000000011908
1933.82,2.511365,-0.13890000000013458
1933.83,2.510284,-0.08874999999950717
1933.8400000000001,2.50959,-0.11959999999989179
1933.8500000000001,2.507892,-0.1504500000001343
1933.8600000000001,2.506581,-0.07330000000008852
1933.8700000000001,2.506426,-0.10035000000010541
1933.88,2.504574,-0.1659000000001356
1933.89,2.503108,-0.10030000000007533
1933.9,2.502568,-0.09255000000008806
1933.91,2.501257,-0.1466000000001344
1933.92,2.499636,-0.11190000000009093
1933.93,2.499019,-0.09260000000010393
1933.94,2.497784,-0.13505000000013467
1933.95,2.496318,-0.10030000000007533
1933.96,2.495778,-0.08100000000005991
1933.97,2.494698,-0.13890000000013458
1933.98,2.493,-0.10805000000010523
1933.99,2.492537,-0.08870000000007394
1934.0,2.491226,-0.15430000000014843
1934.01,2.489451,-0.13120000000010634
1934.02,2.488602,-0.09260000000008972
1934.03,2.487599,-0.13505000000013467
1934.04,2.485901,-0.12730000000009056
1934.05,2.485053,-0.07715000000008843
1934.06,2.484358,-0.12345000000011908
1934.07,2.482584,-0.14275000000012028
1934.08,2.481503,-0.0964499999992654
1934.0900000000001,2.480655,-0.10799999999939303
1934.1000000000001,2.479343,-0.13120000000012055
1934.1100000000001,2.478031,-0.09260000000008972
1934.1200000000001,2.477491,-0.10800000000008936
1934.13,2.475871,-0.1427500000001345
1934.14,2.474636,-0.08875000000010402
1934.15,2.474096,-0.08490000000006148
1934.16,2.472938,-0.1466000000001344
1934.17,2.471164,-0.10415000000011787
1934.18,2.470855,-0.07715000000006
1934.19,2.469621,-0.16975000000014973
1934.2,2.46746,-0.14665000000013606
1934.21,2.466688,-0.0733000000000743
1934.22,2.465994,-0.13115000000010468
1934.23,2.464065,-0.12345000000009065
1934.24,2.463525,-0.0733000000000743
1934.25,2.462599,-0.13505000000012046
1934.26,2.460824,-0.12735000000010643
1934.27,2.460052,-0.08100000000007412
1934.28,2.459204,-0.1273000000001332
1934.29,2.457506,-0.1466000000001486
1934.3,2.456272,-0.08100000000007412
1934.31,2.455886,-0.05020000000004643
1934.32,2.455268,-0.1466000000001202
1934.33,2.452954,-0.1350000000007725
1934.3400000000001,2.452568,-0.0964500000003028
1934.3500000000001,2.451025,-0.15820000000015
1934.3600000000001,2.449404,-0.10420000000010532
1934.3700000000001,2.448941,-0.09645000000008963
1934.38,2.447475,-0.16200000000013404
1934.39,2.445701,-0.10030000000007533
1934.4,2.445469,-0.06560000000006028
1934.41,2.444389,-0.1582000000001358
1934.42,2.442305,-0.13120000000012055
1934.43,2.441765,-0.07715000000008843
1934.44,2.440762,-0.11185000000010348
1934.45,2.439528,-0.11960000000010496
1934.46,2.43837,-0.10420000000009111
1934.47,2.437444,-0.13115000000010468
1934.48,2.435747,-0.1311500000001331
1934.49,2.434821,-0.07330000000008852
1934.5,2.434281,-0.11960000000010496
1934.51,2.432429,-0.1582000000001358
1934.52,2.431117,-0.08105000000007578
1934.53,2.430808,-0.10415000000008945
1934.54,2.429034,-0.16975000000014973
1934.55,2.427413,-0.07720000000006166
1934.56,2.42749,-0.0655500000000444
1934.57,2.426102,-0.15430000000014843
1934.58,2.424404,-0.119599999999906
1934.5900000000001,2.42371,-0.10029999999966321
1934.6000000000001,2.422398,-0.15820000000015
1934.6100000000001,2.420546,-0.11575000000009084
1934.6200000000001,2.420083,-0.07715000000006
1934.63,2.419003,-0.1466000000001344
1934.64,2.417151,-0.13120000000010634
1934.65,2.416379,-0.0694500000000744
1934.66,2.415762,-0.11575000000010505
1934.67,2.414064,-0.12730000000011898
1934.68,2.413216,-0.10030000000010375
1934.69,2.412058,-0.12350000000010652
1934.7,2.410746,-0.12345000000010486
1934.71,2.409589,-0.08870000000008815
1934.72,2.408972,-0.11190000000011935
1934.73,2.407351,-0.14275000000012028
1934.74,2.406117,-0.08485000000005982
1934.75,2.405654,-0.11190000000010514
1934.76,2.403879,-0.1427500000001345
1934.77,2.402799,-0.08100000000007412
1934.78,2.402259,-0.09645000000008963
1934.79,2.40087,-0.16975000000014973
1934.8,2.398864,-0.12345000000011908
1934.81,2.398401,-0.07715000000007421
1934.82,2.397321,-0.1466000000001344
1934.83,2.395469,-0.11575000000037505
1934.8400000000001,2.395006,-0.07719999999989113
1934.8500000000001,2.393925,-0.11575000000009084
1934.8600000000001,2.392691,-0.12730000000010477
1934.8700000000001,2.391379,-0.10805000000010523
1934.88,2.39053,-0.11575000000011926
1934.89,2.389064,-0.1466000000001344
1934.9,2.387598,-0.08485000000008824
1934.91,2.387367,-0.09260000000007551
