Signal Name,Original_Signal (Time Cut)
holding_voltage,2.98858134206307
unloading_parameter,[-2.51315607e-05  2.39887403e-02 -7.69493310e+00  8.31835199e+02]
peak_time,311.48
peak_value,2.988529
peak_mean,2.9906134810379243
plus_minus_toleranz,0.0008822794356885722
U3,0.05737580021607913
U3_mean,0.05946028125400327
manufacturer,vishay
capacitance,50
typ,C
methode,B
klass,1
dut,2
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,3.409





time,value,derivative
311.48,2.988529,-1.7824000000016273
311.49,2.970705,-1.961800000001773
311.5,2.949293,-1.3657500000012703
311.51,2.94339,-0.445600000000411
311.52,2.940381,-0.2700499999996282
311.53000000000003,2.937989,-0.21604999999945562
311.54,2.93606,-0.17360000000016385
311.55,2.934517,-0.1524000000001422
311.56,2.933012,-0.1562500000001421
311.57,2.931392,-0.16010000000017044
311.58,2.92981,-0.1523999999997443
311.59000000000003,2.928344,-0.1292499999996437
311.6,2.927225,-0.10035000000007699
311.61,2.926337,-0.09645000000008963
311.62,2.925296,-0.11765000000011128
311.63,2.923984,-0.12925000000009845
311.64,2.922711,-0.12149999999979855
311.65000000000003,2.921554,-0.1099499999997704
311.66,2.920512,-0.0849000000000899
311.67,2.919856,-0.06755000000006817
311.68,2.919161,-0.09065000000006762
311.69,2.918043,-0.11380000000008295
311.7,2.916885,-0.11190000000010514
311.71,2.915805,-0.09259999999991919
311.72,2.915033,-0.06364999999982501
311.73,2.914532,-0.05590000000006512
311.74,2.913915,-0.07525000000003956
311.75,2.913027,-0.09260000000008972
311.76,2.912063,-0.09065000000009604
311.77,2.911214,-0.08489999999983411
311.78000000000003,2.910365,-0.07139999999978386
311.79,2.909786,-0.05210000000005266
311.8,2.909323,-0.05400000000003047
311.81,2.908706,-0.0829500000000678
311.82,2.907664,-0.10995000000011146
311.83,2.906507,-0.08680000000001087
311.84000000000003,2.905928,-0.05594999999988204
311.85,2.905388,-0.05980000000005248
311.86,2.904732,-0.06365000000005239
311.87,2.904115,-0.0926000000000613
311.88,2.90288,-0.11960000000010496
311.89,2.901723,-0.08485000000001719
311.90000000000003,2.901183,-0.04629999999988854
311.91,2.900797,-0.025100000000009004
311.92,2.900681,-0.027000000000015234
311.93,2.900257,-0.07520000000008054
311.94,2.899177,-0.10610000000011155
311.95,2.898135,-0.0829500000000678
311.96,2.897518,-0.050149999999973716
311.97,2.897132,-0.0404999999999518
311.98,2.896708,-0.05210000000005266
311.99,2.89609,-0.07525000000006798
312.0,2.895203,-0.09260000000008972
312.01,2.894238,-0.08680000000009613
312.02,2.893467,-0.059800000000024056
312.03000000000003,2.893042,-0.04439999999991073
312.04,2.892579,-0.05205000000003679
312.05,2.892001,-0.06365000000005239
312.06,2.891306,-0.0849000000000899
312.07,2.890303,-0.09065000000009604
312.08,2.889493,-0.057850000000001955
312.09000000000003,2.889146,-0.028949999999895226
312.1,2.888914,-0.04440000000005284
312.11,2.888258,-0.0733000000000743
312.12,2.887448,-0.07905000000005202
312.13,2.886677,-0.0829500000000678
312.14,2.885789,-0.0752499999999543
312.15000000000003,2.885172,-0.048199999999809506
312.16,2.884825,-0.04435000000003697
312.17,2.884285,-0.0598000000000809
312.18,2.883629,-0.0733000000000743
312.19,2.882819,-0.09070000000008349
312.2,2.881815,-0.07525000000003956
312.21,2.881314,-0.03855000000001496
312.22,2.881044,-0.04630000000003065
312.23,2.880388,-0.07140000000006808
312.24,2.879616,-0.07140000000006808
312.25,2.87896,-0.07135000000008063
312.26,2.878189,-0.08100000000007412
312.27,2.87734,-0.07139999999992597
312.28000000000003,2.876761,-0.05209999999988213
